v,Cs_C,Cs_Mn,T
0.03810000000000003,0.0022052237743661707,0.003815033447712672,1787.1211019830262
0.03860000000000003,0.0022091122883191377,0.0038156939527724744,1787.0866579487188
0.03910000000000003,0.0022129977586517967,0.0038163538259400063,1787.0523114261823
0.03960000000000003,0.002216880186605026,0.003817013067835434,1787.018061984161
0.04010000000000003,0.0022207595734365275,0.0038176716790798214,1786.983909193972
0.04060000000000003,0.002224635920420903,0.003818329660295251,1786.9498526295235
0.04110000000000003,0.002228509228849237,0.0038189870121046734,1786.9158918672642
0.04160000000000003,0.0022323795000291193,0.0038196437351320956,1786.8820264861895
0.04210000000000003,0.002236246735284309,0.003820299830002404,1786.8482560678067
0.042600000000000034,0.0022401109359545287,0.0038209552973413694,1786.814580196109
0.043100000000000034,0.002243972103395475,0.003821610137775588,1786.7809984575858
