v,R_scaled,T_scaled,cl_C,cl_Mo,cl_Mn,cl_Si,cs_C,cs_Mo,cs_Mn,cs_Si,R,T,DT
0.1011,0.02161476818362927,0.9890027200478549,0.021914832396394697,0.014281822065436578,0.004947904904559295,0.005420694253947527,0.003554590575584434,0.010057334545012304,0.0036666297537860707,0.0038908076264064576,2.161476818362927e-08,1752.4040296255937,19.485970374406406
0.11109999999999999,0.020337053748160822,0.9885356224442239,0.022045917154413484,0.014307250376811033,0.004954305457450637,0.005427808478469221,0.003588838863217532,0.010075348355529631,0.003674902001098096,0.0039018160442671423,2.0337053748160822e-08,1751.5763840526959,20.313615947304243
0.12109999999999999,0.01922501845696025,0.9880863021481371,0.02216521504585526,0.014330055529623372,0.004959969962012631,0.005434063356868436,0.003621379997769246,0.010092328683508282,0.0036826101347499046,0.003912059283088952,1.922501845696025e-08,1750.7802379132627,21.10976208673742
0.1311,0.01824619192626148,0.9876522920928834,0.022274391410906542,0.014350618635800089,0.004965010382221696,0.005439591902924343,0.0036524620624604955,0.010108426377250934,0.003689836612934619,0.003921648403419968,1.824619192626148e-08,1750.0112198364593,21.878780163540796
0.1411,0.017376348569474256,0.987231620876513,0.022374776404285535,0.014369243145630237,0.004969515309233805,0.005444499144866292,0.0036822827415484865,0.010123760818377531,0.0036966467599646707,0.003930671495177516,1.7376348569474254e-08,1749.2658367148847,22.6241632851154
0.1511,0.01659699985154944,0.9868226863411769,0.02246745082244674,0.014386174899939442,0.004973556083532755,0.005448869486611248,0.0037110022895875897,0.01013842817451498,0.003703093248214956,0.003939199668370915,1.659699985154944e-08,1748.541249701068,23.348750298932146
0.16110000000000002,0.01589375883002687,0.9864241675490659,0.022553305701296537,0.014401616019223623,0.004977191018548784,0.0054527717808286556,0.0037387525239536436,0.010152507089741662,0.003709219191152607,0.0039472911910560324,1.589375883002687e-08,1747.8351182385145,24.054881761485603
0.17110000000000003,0.015255240940660879,0.9860349617176676,0.022633084979871144,0.014415734819006727,0.004980468402701074,0.005456262930242769,0.003765643254610291,0.010166062727337865,0.0037150603424364105,0.003954994434155195,1.525524094066088e-08,1747.145488317918,24.74451168208202
0.18110000000000004,0.01467230423669961,0.9856541381091989,0.02270741666874588,0.014428673036456612,0.004983428678751091,0.005459390499088175,0.003791766974988175,0.010179149703318643,0.003720646692858666,0.003962350011762491,1.467230423669961e-08,1746.4707107743086,25.4192892256915
0.19110000000000005,0.014137512103380006,0.9852809036046122,0.02277683608093167,0.014440551204472903,0.0049861060582365715,0.005462194645480155,0.003817202353842596,0.010191814258807918,0.00372600365376807,0.003969392368523121,1.4137512103380004e-08,1745.8093802879764,26.08061971202369
0.20110000000000006,0.013644745116462796,0.9849145765841077,0.022841803421082475,0.014451472712853379,0.0049885297372167375,0.005464709575104362,0.003842016875111098,0.01020409589509375,0.0037311529484600073,0.003976150976220023,1.3644745116462796e-08,1745.1602891036148,26.729710896385313
0.21110000000000007,0.013188916035630159,0.9845545667352584,0.02290271745659857,0.01446152695524716,0.004990724833730431,0.005466964660363971,0.0038662688887115227,0.010216028634380541,0.003736113299820754,0.00398265125772999,1.3188916035630158e-08,1744.522391252537,27.36760874746301
0.22110000000000007,0.012765756214766508,0.9842003593332439,0.02295992603263625,0.014470791748965293,0.004992713107539439,0.005468985299391368,0.0038900091837785044,0.01022764198706391,0.003740900958427851,0.003988915296911246,1.2765756214766507e-08,1743.8947746989816,27.995225301018536
0.23110000000000008,0.012371654015870972,0.9838515027502706,0.023013734541087835,0.014479335276486286,0.004994513534176472,0.005470793599732328,0.0039132822562246905,0.010238961723273798,0.003745530123868816,0.0039949624055810005,1.2371654015870971e-08,1743.276639208177,28.613360791823197
0.2411000000000001,0.012003530229758513,0.9835075985004718,0.02306441255190923,0.014487217606477771,0.004996142754372213,0.005472408913662172,0.0039361272980537555,0.010250010476578442,0.003750013274790245,0.004000809567767502,1.2003530229758513e-08,1742.667278707001,29.22272129299904
0.2511000000000001,0.011658741508583634,0.9831682931541041,0.023112199314649542,0.01449449194992656,0.004997615442672164,0.005473848276104526,0.003958579019260614,0.010260808239174728,0.0037543614395829515,0.004006471804534938,1.1658741508583634e-08,1742.0660669568256,29.82393304317452
0.2611000000000001,0.011335004162476849,0.9828332717694911,0.023157308151251773,0.01450120566370118,0.004998944601745563,0.005475126754314369,0.003980668301933374,0.010271372757128642,0.0037585844126839644,0.004011962465547291,1.1335004162476849e-08,1741.4724459156437,30.417554084356425
0.2711000000000001,0.011030333580645053,0.9825022524882552,0.023199930051911715,0.014507401071283206,0.005000141802469654,0.005476257732907943,0.004002422734599488,0.010281719852634687,0.003762690931059407,0.004017293467105364,1.1030333580645053e-08,1740.8859161614146,31.00408383858553
0.2811000000000001,0.010742996064134433,0.9821749820212339,0.023240236838819792,0.014513116179009602,0.005001217391126738,0.005477253158720931,0.004023867085358372,0.010291863702421612,0.0037666888264795287,0.00402247549791961,1.0742996064134432e-08,1740.3060288936042,31.583971106395893
0.29110000000000014,0.010471469071367947,0.981851231945279,0.023278384050340804,0.014518385318411433,0.0050021806734443,0.005478123758217906,0.004045023756273167,0.010301817095067426,0.003770585161827166,0.004027518201316374,1.0471469071367946e-08,1739.7323793715204,32.15762062847966
