,v,R,T,kv_C,kv_Mn,kv_Al,clstar_C,clstar_Mn,clstar_Al
662,0.3310500000000003,8.11243072274753e-08,1763.8617017370893,0.49465797141667833,0.7963785208824754,0.9510892188150409,0.00382995262411907,0.005929464226705295,0.017665143588750695
663,0.3315500000000003,8.111921975648229e-08,1763.8577387101468,0.4948915907725026,0.7964726549858998,0.9511118302436319,0.0038295197614297716,0.00592926856175671,0.017665020892898974
664,0.3320500000000003,8.111426680188356e-08,1763.8537829915624,0.495124994223927,0.7965667020932491,0.95113442077538,0.003829086707716577,0.0059290727791188255,0.01766489811684832
665,0.3325500000000003,8.110944813143561e-08,1763.8498345605535,0.49535818207011234,0.7966606623250658,0.9511569904392407,0.003828653465891975,0.005928876880059672,0.017664775261381934
666,0.3330500000000003,8.110476352529782e-08,1763.8458933962959,0.49559115460966735,0.7967545358016713,0.9511795392641152,0.003828220038911377,0.00592868086586749,0.01766465232729586
667,0.3335500000000003,8.110021275849914e-08,1763.8419594781778,0.49582391214064897,0.7968483226431639,0.9512020672788519,0.0038277864296697045,0.005928484737803975,0.017664529315369642
668,0.3340500000000003,8.109579560677805e-08,1763.8380327857142,0.49605645496056466,0.7969420229694202,0.9512245745122457,0.0038273526410361534,0.005928288497119994,0.017664406226376186
669,0.3345500000000003,8.109151185534126e-08,1763.834113298418,0.49628878336637333,0.7970356369000968,0.9512470609930386,0.003826918675905866,0.005928092145078937,0.017664283061096426
670,0.3350500000000003,8.108736128425497e-08,1763.8302009960132,0.49652089765448615,0.7971291645546289,0.9512695267499194,0.0038264845371141416,0.005927895682917924,0.017664159820294956
671,0.3355500000000003,8.10833436830453e-08,1763.8262958582197,0.4967527981207684,0.7972226060522316,0.9512919718115241,0.003826050227522404,0.005927699111886688,0.017664036504744445
672,0.3360500000000003,8.10794588360911e-08,1763.8223978649667,0.49698448506054066,0.7973159615119011,0.9513143962064362,0.0038256157499326334,0.005927502433208842,0.017663913115201338
