v,R_scaled,T_scaled,cl_C,cl_Mo,cl_Mn,cl_Si,cs_C,cs_Mo,cs_Mn,cs_Si,R,T,DT
0.0111,0.09623643748494144,0.996330272830899,0.018951992644056913,0.0141417338019177,0.004773859965096182,0.005311807272526779,0.005679626638114973,0.008503903100189874,0.0036915535487639954,0.003547526017822602,9.623643748494144e-08,1759.300069159345,6.479930840655015
0.0211,0.06742722128090149,0.9953095550023212,0.019552584078959503,0.0143823206732673,0.004815751862376929,0.005382487726569043,0.005896776211731514,0.008640279267544366,0.003730775491971982,0.003604197631929563,6.742722128090149e-08,1757.4977060319986,8.28229396800134
0.031100000000000003,0.05410448174569383,0.994546407067236,0.01995151046530851,0.014538964420426254,0.004842132787456376,0.005427564280593586,0.006051868957813953,0.00873518849587031,0.0037573176109852104,0.0036427829105532094,5.410448174569382e-08,1756.1501546711838,9.629845328816145
0.041100000000000005,0.0460447634648929,0.9939112099757192,0.020251595180801378,0.014654919728852411,0.004861162042509025,0.005460429172094538,0.006176630809409851,0.008810162044852394,0.0037778063055273004,0.0036726790883422414,4.6044763464892895e-08,1755.0285363509256,10.751463649074367
0.051100000000000007,0.040508456028777035,0.9933547787488106,0.020491477747288555,0.014746298476594725,0.004875829473423598,0.005486014549671419,0.006282962812063395,0.008873157373556349,0.0037946765073547787,0.003697358144154582,4.050845602877703e-08,1754.0460012190747,11.733998780925276
0.06110000000000001,0.0364095341825313,0.9928525211916562,0.020690358464376467,0.014821054053404158,0.004887591699759128,0.005506732383759494,0.006376767123248915,0.00892807733615823,0.003809117405529758,0.0037185227490730954,3.64095341825313e-08,1753.1591248698028,12.620875130197192
0.07110000000000001,0.03322042345546229,0.9923901828275539,0.02085931835403846,0.014883751769259369,0.004897275347603744,0.005523955694431874,0.006461443031450861,0.008977149565220454,0.0038218054386282745,0.0037371447127283095,3.322042345546229e-08,1752.342737033238,13.437262966761864
0.0811,0.030649958507222224,0.9919586874710181,0.021005390622814535,0.014937275847214992,0.004905397319286116,0.005538545324619718,0.006539143514099291,0.009021774238524483,0.003833164569478566,0.0037538348946535723,3.064995850722222e-08,1751.5808111625743,14.199188837425709
0.0911,0.02852260599485067,0.9915518651563874,0.021133344994615274,0.01498357432839685,0.004912303458601129,0.005551078576957322,0.006611325498857482,0.009062892634906816,0.003843479116664656,0.0037690039924546084,2.852260599485067e-08,1750.8624524558456,14.917547544154331
0.1011,0.026725429163362173,0.9911653136212747,0.02124657835761492,0.015024029511980607,0.004918237023222711,0.005561962355932552,0.006679024293059531,0.009101169784717008,0.0038529495351552067,0.0037829422164148627,2.6725429163362173e-08,1750.1798874861745,15.60011251382548
0.11109999999999999,0.025182037801938572,0.9907957724986157,0.021347602782675314,0.015059660261683287,0.004923375836858742,0.005571494674469696,0.006743003819787155,0.00913709389896349,0.0038617227152565664,0.003795862657918327,2.518203780193857e-08,1749.5273591626055,16.252640837394438
0.12109999999999999,0.023838668171034465,0.9904407544210033,0.021438332422057452,0.015091240582705988,0.004927853933515491,0.005579900548563428,0.006803844857093237,0.009171034470621408,0.003869909652937332,0.0038079266301086806,2.3838668171034464e-08,1748.9004753415193,16.879524658480705
0.1311,0.022656237957805456,0.990098315312511,0.021520261761808473,0.015119373092364118,0.004931774891930114,0.0055873541458982875,0.006861999809111142,0.009203278170163478,0.003877596347060943,0.0038192593228818525,2.2656237957805455e-08,1748.2958032125257,17.484196787474275
0.1411,0.021605564695494316,0.9897669048515917,0.02159458146428155,0.015144536644541995,0.004935220431868295,0.005593993085392651,0.006917828267157857,0.009234052048978458,0.003884850831535198,0.0038299599219960533,2.1605564695494314e-08,1747.7106052488436,18.069394751156324
0.1511,0.0206643590490693,0.9894452655359952,0.021662256413752794,0.01516711834046998,0.0049382561625166185,0.005599928012186909,0.0069716209430098425,0.00926353909397943,0.003891727882296357,0.003840108392544613,2.06643590490693e-08,1747.1426609781497,18.637339021850266
0.16110000000000002,0.01981526391613383,0.9891323624066858,0.021724080012227986,0.015187435747836717,0.004940935552285061,0.0056052492186218494,0.007023616304010995,0.009291888996373256,0.0038982722710587748,0.0038497701750380715,1.981526391613383e-08,1746.5901428904776,19.189857109522336
0.17110000000000003,0.019044534571644504,0.9888273328351664,0.021780712887873758,0.015205752709575499,0.004943302740168393,0.005610031338492354,0.0070740124188527044,0.00931922579450188,0.0039045210717452315,0.0038589995185680627,1.9044534571644503e-08,1746.0515277736802,19.72847222631981
0.18110000000000004,0.018341126577737836,0.9885294498179326,0.021832711216224553,0.015222290885784698,0.004945394578239049,0.005614336761575192,0.007122975617958774,0.009345653440295058,0.003910505337747957,0.0038678419081153823,1.8341126577737836e-08,1745.525531899509,20.254468100491067
0.19110000000000005,0.01769605009435509,0.9882380946232652,0.021880547781018937,0.015237238321792489,0.004947242141337689,0.005618218159976163,0.007170646926322676,0.009371259921712389,0.003916251342781017,0.003876335862369397,1.769605009435509e-08,1745.0110627238691,20.768937276130828
0.20110000000000006,0.01710190330512601,0.9879527360482293,0.02192462792685968,0.015250755926801314,0.004948871863693501,0.005621720392039094,0.007217146930372499,0.009396120372734114,0.003921781515991309,0.003884514290115633,1.710190330512601e-08,1744.5071822592424,21.272817740757546
0.21110000000000007,0.016552529294357642,0.9876729144405703,0.02196530186765101,0.015262982463246045,0.004950306410267811,0.005624881963435884,0.007262579531196552,0.009420299463101486,0.003927115159475679,0.0038924055323090578,1.6552529294357642e-08,1744.01307886087,21.766921139129863
0.22110000000000007,0.01604275937368029,0.9873982292292424,0.022002874289862164,0.01527403843320017,0.0049515653526687855,0.005627736161581986,0.007307034869330983,0.009443853255653526,0.003932269005366308,0.003900034172019919,1.6042759373680287e-08,1743.5280452084116,22.251954791588332
0.23110000000000008,0.015568218133798438,0.9871283290695971,0.02203761190964385,0.01528402913304905,0.0049526656985094605,0.005630311944718835,0.007350591623445006,0.009466830663138606,0.003937257652583479,0.0039074216699371625,1.5568218133798437e-08,1743.0514609045133,22.728539095486667
0.2411000000000001,0.015125173634361761,0.9868629039688245,0.02206974953741027,0.01529304710039092,0.00495362231356656,0.005632634651647227,0.007393318853899804,0.00948927461257059,0.003942093915354614,0.0039145868721172155,1.512517363436176e-08,1742.5827785700708,23.197221429929186
0.2511000000000001,0.014710420639755169,0.9866016789288466,0.022099494936602227,0.015301174072771186,0.004954448258678423,0.005634726568423069,0.007435277476981926,0.00951122297558473,0.003946789101754036,0.003921546415977671,1.4710420639755168e-08,1742.1215126189788,23.658487381021132
0.2611000000000001,0.014321189077303183,0.9863444087619277,0.02212703287282811,0.015308482614886407,0.004955155067820469,0.005636607396877169,0.007476521496655056,0.009532709339725103,0.003951353243657023,0.0039283150662539085,1.4321189077303182e-08,1741.6672301036367,24.11276989636326
